,text,label,label_name
0,i didnt feel humiliated,0,sadness
1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,sadness
2,im grabbing a minute to post i feel greedy wrong,3,anger
3,i am feeling grouchy,3,anger
4,ive been feeling a little burdened lately wasnt sure why that was,0,sadness
5,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5,surprise
6,i feel as confused about life as a teenager or as jaded as a year old man,4,fear
7,i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,joy
8,i feel like i have to make the suffering i m seeing mean something,0,sadness
9,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,joy
10,i think it s the easiest time of year to feel dissatisfied,3,anger
11,i feel low energy i m just thirsty,0,sadness
12,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,joy
13,i do not feel reassured anxiety is on each side,1,joy
14,i didnt really feel that embarrassed,0,sadness
15,i feel pretty pathetic most of the time,0,sadness
16,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,sadness
17,i now feel compromised and skeptical of the value of every unit of work i put in,4,fear
18,i feel irritated and rejected without anyone doing anything or saying anything,3,anger
19,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,fear
20,i have the feeling she was amused and delighted,1,joy
21,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,joy
22,i already feel like i fucked up though because i dont usually eat at all in the morning,3,anger
23,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,sadness
24,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,sadness
25,i become overwhelmed and feel defeated,0,sadness
26,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3,anger
27,i feel more superior dead chicken or grieving child,1,joy
28,i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,joy
29,i remember feeling acutely distressed for a few days,4,fear
30,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5,surprise
31,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3,anger
32,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,joy
33,i am not sure what would make me feel content if anything,1,joy
34,i have been feeling the need to be creative,1,joy
35,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,joy
36,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3,anger
37,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,joy
38,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,joy
39,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,joy
40,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,joy
41,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,joy
42,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,sadness
43,i was feeling listless from the need of new things something different,0,sadness
44,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,joy
45,on a boat trip to denmark,1,joy
46,i stopped feeling cold and began feeling hot,3,anger
47,i need to feel the dough to make sure its just perfect,1,joy
48,i found myself feeling a little discouraged that morning,0,sadness
49,i feel selfish and spoiled,3,anger
50,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,fear
51,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,joy
52,i feel you know basically like a fake in the realm of science fiction,0,sadness
53,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,sadness
54,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5,surprise
55,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,joy
56,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,joy
57,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,joy
58,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,fear
59,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,fear
60,i am now nearly finished the week detox and i feel amazing,5,surprise
61,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3,anger
62,i know the pain parents feel when an enraged child becomes violent,3,anger
63,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,sadness
64,i was feeling brave when i bought it and clearly when i was doing my makeup,1,joy
65,i am feeling miserable but c i am also the proudest mum on earth,0,sadness
66,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,sadness
67,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1,joy
68,i can feel my ovaries aching talking to me as i like to put it,0,sadness
69,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,sadness
70,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,sadness
71,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,joy
72,i think feelings are one of nay the most important things we have,1,joy
73,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,joy
74,i feel angered and firey,3,anger
75,i feel like a miserable piece of garbage,0,sadness
76,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3,anger
77,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3,anger
78,i remember feeling so hellip furious with the shooter,3,anger
79,i feel very happy and excited since i learned so many things,1,joy
80,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,joy
81,i only have a couple of things left to make and at the start of december i am done and feeling smug,1,joy
82,i think about how u could make me feel and realize that everything will be ok,1,joy
83,i feel so worthless during those times i was struggling finding work,0,sadness
84,i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,fear
85,im feeling bitter today my mood has been strange the entire day so i guess its that,3,anger
86,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,sadness
87,i am letting go of the animosity that is towards anyone that i feel has wronged me,3,anger
88,i feel like throwing away the shitty piece of shit paper,0,sadness
89,im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,joy
90,i find every body beautiful and only want people to feel vital in their bodies,1,joy
91,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,sadness
92,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3,anger
93,i alba i feel good and im fitting in,1,joy
94,i feel excited about what im doing again i feel like i have a ton of catching up to do,1,joy
95,i also know how good it feels to look back and see that i honored my word and that helps from the start,1,joy
96,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,sadness
97,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1,joy
98,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1,joy
99,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1,joy
100,finding out that i am not ill not seriously,1,joy
101,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,sadness
102,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1,joy
103,i am feeling all useful,1,joy
104,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,sadness
105,im not feeling homesick yet so im feeling alright about this,0,sadness
106,i dance i should feel pretty,1,joy
107,i workout every morning before and feel fabulous for it,1,joy
108,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,sadness
109,i was feeling fabulous until friday morning when i started to get these awful cramps at work,1,joy
110,i feel honoured to have been able to call them friends to share their brotherhood,1,joy
111,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,fear
112,i had stated to her the reason i feel so fearful is because i feel unsafe,4,fear
113,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,fear
114,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,sadness
115,i feel they are pretty safe on my blog img src http s,1,joy
116,i feel pretty eager to get it done as i have a fun plan for quilting it,1,joy
117,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4,fear
118,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,5,surprise
119,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1,joy
